video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=2laqn8D6c6w&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@learnwithabby,Learn With Abby,Amazon FBA 2023 Beginner's Guide Step by Step | LEARN WITH ABBY,190K,11 months,"Hope you learned something with me today, more to come soon! In the meantime: Connect with me: Instagram- ...",2024-01-28 08:02:57.820502
/watch?v=RVVfJVj5z8s&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@frontline,FRONTLINE PBS | Official,Amazon Empire: The Rise and Reign of Jeff Bezos (full documentary) | FRONTLINE,36M,3 years,An inside look at how Amazon CEO Jeff Bezos built one of the largest and most influential economic forces in the world — and the ...,2024-01-28 08:03:07.192711
/watch?v=PMpY_oZGy_Q&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@tyler-davis,Tyler Davis,I Tried Amazon FBA For 1 Year... Here's What They Won't Tell You,333K,10 months,"In this video, I share my experience trying out Amazon FBA for a full year. I'll reveal the ups and downs of the process and share ...",2024-01-28 08:03:07.201470
/watch?v=Dy8ogOaKk4Y&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@DWDocumentary,DW Documentary,"Google, Facebook, Amazon - The rise of the mega-corporations | DW Documentary",3.6M,1 year,Mega-corporations like Amazon and Facebook are becoming more powerful. And their growth shows no signs of slowing down.,2024-01-28 08:03:07.206704
/watch?v=rAcEcb2osi4&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNBC,CNBC,The Hidden Costs Of Amazon Shipping And Returns,2.8M,1 year,"Buying and returning on Amazon may seem extremely easy, but that simplicity comes at a cost. Amazon has more than 115000 ...",2024-01-28 08:03:07.224773
/watch?v=9x0GRFUwSqo&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNBCtelevision,CNBC Television,Amazon CEO says layoffs will continue into 2023,28K,1 year,Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in ...,2024-01-28 08:03:07.228177
/watch?v=TSAoDoBB8YU&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@TatianaJames,Tatiana James,How Selling On Amazon Has Changed in 2023 😨,30K,10 months,"I started selling on Amazon in 2014 and I can tell you that the playing field is completely different today... let me tell you why, and ...",2024-01-28 08:03:07.239819
/watch?v=uH24S9wzcQ0&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@amazon,amazon,Introducing Amazon's Latest Devices and Services 2023,47K,4 months,"Introducing more intuitive, personalized experiences with our new smart home devices, plus more conversational interactions with ...",2024-01-28 08:03:07.241892
/shorts/0PQka0h42wc,/@Flips4Miles,Flips4Miles,How I Made $80k Profit in 1 Month On Amazon FBA,118K,9 months,I sell multiple 7 figures per year on Amazon FBA and it completely changed my life. If you want more free tutorials to speed up your ...,2024-01-28 08:03:07.251509
/watch?v=M9eSGTylvhw&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@DanVas,Dan Vas,COMPLETE Amazon FBA Tutorial In 2023 | How To Sell On Amazon FBA And Make Money (Step By Step),1.8M,2 years,Email me! (I answer every email): danv@ecomfreedom.com FREE Ecom Freedom Amazon FBA Starter Pack: (Helpful tools to ...,2024-01-28 08:03:07.254722
/watch?v=9-pXe5CU-WQ&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@NBCNews,NBC News,"Amazon CEO says company will cut 9,000 jobs",15K,10 months,Amazon CEO Andy Jassy said the company plans to cut 9000 more jobs after several rounds of layoffs since November. CNBC's ...,2024-01-28 08:03:07.272807
/watch?v=FtvJAhr1jMw&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@KING5Seattle,KING 5 Seattle,"Amazon employees walk out over layoffs, return-to-work mandate",31K,7 months,"Amazon employees in South Lake Union walked off the job Wednesday upset over layoffs, a return-to-office mandate and the ...",2024-01-28 08:03:07.274775
/watch?v=ZWonAz7Kczs&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@NBCNews,NBC News,Inside Amazon’s robot revolution,222K,1 month,"Amazon is investing a billion dollars in new industrial technology, including Digit, a robot working in their Seattle Robotics ...",2024-01-28 08:03:07.279529
/shorts/cybs7HnK_tA,/@SueIrven,Sue Irven,3 reasons you should NOT start Amazon KDP in 2023!,186K,1 year,3 reasons you should NOT start Amazon KDP in 2023! Hear me out: No reasons came to the screen because there is no ...,2024-01-28 08:03:07.296104
/watch?v=thyEWVHbTdc&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@SantrelMedia,Santrel Media,Amazon FBA For Beginners 2024 (Step by Step Tutorial),465K,10 months,Timestamps: 0:00 - Start Here 2:15 - Setting Expectations 3:22 - Why Amazon? 5:01 - FBA vs FBM 7:45 - Finding Products To Sell ...,2024-01-28 08:03:07.308382
/watch?v=7Y4Ko_G-0B0&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@Jatznaran,Jatz Naran,HOW TO SELL ON AMAZON IN 2023 (Beginners Guide),284K,8 months,In this video I am going to show a full amazon FBA wholesale guide for beginners Step by Step on how to start selling on amazon ...,2024-01-28 08:03:07.311898
/shorts/uI3dTs1aB1s,/@AmazonNewsIndia,Amazon News India,Life at Amazon,99K,7 months,Work & slay mode: Activated #Amazonians #AmazonInTheCommunity #Amazonindia #Amazonemployees.,2024-01-28 08:03:07.313649
/watch?v=vdXNOMNGPLw&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNBCtelevision,CNBC Television,Amazon's Dave Limp explains the company's auto innovation heading into 2023,3.1K,1 year,Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in ...,2024-01-28 08:03:07.320617
/shorts/xJAppvsyYpc,/@TravisMarziani,Travis Marziani,Is Amazon FBA Still Worth It in 2023?,157K,7 months,Check out passionproduct.com to join my Amazon Fba Program. The program includes: 150+ Step by step video lessons Live ...,2024-01-28 08:03:16.227128
/shorts/QlHpKzuXuFc,/@Flips4Miles,Flips4Miles,How To Start An Amazon FBA Business in 2023 (STEP BY STEP),41K,1 year,"Thanks for watching this clip! I post 3x a week to help you make money with Amazon FBA, and document my own process of ...",2024-01-28 08:03:16.229658
/watch?v=5OtPiGy3Tqo&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@Jatznaran,Jatz Naran,Amazon FBA WHOLESALE For Beginners 2023 (Step by Step Tutorial),676K,1 year,In this video I am going to show a full amazon FBA wholesale guide for beginners Step by Step on how to start selling on amazon ...,2024-01-28 08:03:16.234728
/shorts/6vA3d25ZIFs,/@GeniusGifts,GiftGenius (Official Page),Better than the normal kind?? #amazon #amazonfinds #amazonhome #amazonlife #founditonamazon,18M,8 months,Amazon products you need part 209 is this thing actually better than a regular bath mat like this let's see apparently it's made of ...,2024-01-28 08:03:16.237648
/watch?v=sILXutYWgQ4&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@LogisticGyan,LogisticGyan,Amazon Recruitment 2024 | Freshers & Experienced job 2024 | SALARY PACKAGE 3-5 LPA 👌🤑,28,16 hours,... jobs work from home 2023 12th pass job private company 2023 #fresher #aws #vacancyalert #frehser #jobsinhindi #jobupdate ...,2024-01-28 08:03:16.243252
/watch?v=fTwXS2H_iJo&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@AmazonNews,Amazon News,Jeff Bezos on Why It's Always Day 1 at Amazon | Amazon News,369K,6 years,"At a recent Amazon all hands meeting, Jeff was asked ""Jeff, what does Day 2 look like?"" View the video to see what he said (hint: ...",2024-01-28 08:03:16.246217
/watch?v=o4IOz4uUUtw&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@AmazonSellerUniversity,Amazon Seller University,Amazon Accelerate 2023 General Session Two | Amazon Accelerate 2023,1.8K,3 months,"Dharmesh Mehta (Vice President, Worldwide Selling Partner Services) and Claire O'Donnell (Director, Selling Partner ...",2024-01-28 08:03:16.248952
